NumBins,NumTrees,MaxDepth,MaxFeatures,Accuracy,Loss
256,32768,16,sqrt,0.766666667,0.233333333
256,32768,16,log2,0.78,0.22
256,32768,16,,0.76,0.24
256,32768,32,sqrt,0.766666667,0.233333333
256,32768,32,log2,0.78,0.22
256,32768,32,,0.76,0.24
256,32768,64,sqrt,0.766666667,0.233333333
256,32768,64,log2,0.78,0.22
256,32768,64,,0.76,0.24
256,32768,,sqrt,0.766666667,0.233333333
256,32768,,log2,0.78,0.22
256,32768,,,0.76,0.24
256,65536,2,sqrt,0.653333333,0.346666667
256,65536,2,log2,0.646666667,0.353333333
256,65536,2,,0.586666667,0.413333333
256,65536,4,sqrt,0.76,0.24
256,65536,4,log2,0.753333333,0.246666667
256,65536,4,,0.746666667,0.253333333
256,65536,8,sqrt,0.773333333,0.226666667
256,65536,8,log2,0.78,0.22
256,65536,8,,0.753333333,0.246666667
256,65536,16,sqrt,0.773333333,0.226666667
256,65536,16,log2,0.78,0.22
256,65536,16,,0.753333333,0.246666667
256,65536,32,sqrt,0.773333333,0.226666667
256,65536,32,log2,0.78,0.22
256,65536,32,,0.753333333,0.246666667
256,65536,64,sqrt,0.773333333,0.226666667
256,65536,64,log2,0.78,0.22
256,65536,64,,0.753333333,0.246666667
256,65536,,sqrt,0.773333333,0.226666667
256,65536,,log2,0.78,0.22
256,65536,,,0.753333333,0.246666667
512,64,2,sqrt,0.673333333,0.326666667
512,64,2,log2,0.613333333,0.386666667
512,64,2,,0.633333333,0.366666667
512,64,4,sqrt,0.74,0.26
512,64,4,log2,0.7,0.3
512,64,4,,0.72,0.28
512,64,8,sqrt,0.773333333,0.226666667
512,64,8,log2,0.74,0.26
512,64,8,,0.74,0.26
512,64,16,sqrt,0.766666667,0.233333333
512,64,16,log2,0.74,0.26
512,64,16,,0.733333333,0.266666667
512,64,32,sqrt,0.766666667,0.233333333
512,64,32,log2,0.74,0.26
512,64,32,,0.733333333,0.266666667
512,64,64,sqrt,0.766666667,0.233333333
512,64,64,log2,0.74,0.26
512,64,64,,0.733333333,0.266666667
512,64,,sqrt,0.766666667,0.233333333
512,64,,log2,0.74,0.26
512,64,,,0.733333333,0.266666667
512,128,2,sqrt,0.686666667,0.313333333
512,128,2,log2,0.66,0.34
512,128,2,,0.653333333,0.346666667
512,128,4,sqrt,0.773333333,0.226666667
512,128,4,log2,0.74,0.26
512,128,4,,0.706666667,0.293333333
512,128,8,sqrt,0.773333333,0.226666667
512,128,8,log2,0.78,0.22
512,128,8,,0.76,0.24
512,128,16,sqrt,0.766666667,0.233333333
512,128,16,log2,0.78,0.22
512,128,16,,0.76,0.24
512,128,32,sqrt,0.766666667,0.233333333
512,128,32,log2,0.78,0.22
512,128,32,,0.76,0.24
512,128,64,sqrt,0.766666667,0.233333333
512,128,64,log2,0.78,0.22
512,128,64,,0.76,0.24
512,128,,sqrt,0.766666667,0.233333333
512,128,,log2,0.78,0.22
512,128,,,0.76,0.24
512,256,2,sqrt,0.686666667,0.313333333
512,256,2,log2,0.673333333,0.326666667
512,256,2,,0.653333333,0.346666667
512,256,4,sqrt,0.76,0.24
